Name,Address,City,State,Zip,Lat,Long,IsSchool,Breakfast,Lunch,Supper,PMSnack
Archdiocese of Chicago-Nw Hwy - RBC Comm Service Center,1159 W 51st St, Chicago, IL,60609,41.801234,-87.654892,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Logan Square Boys And Girls Club,3228 W Palmer St, Chicago, IL,60647,41.921392,-87.708663,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Greater Acquaintance MB Church,6758 S Wabash Ave, Chicago, IL,60637,41.771159,-87.623468,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - Hyde Park Neighborhood Club,5480 S Kenwood Ave, Chicago, IL,60615,41.795712,-87.593861,0,1,1,0,1
Archdiocese of Chicago-Nw Hwy - Gen Robert Woods Boys&Girls Club,2950 W 25th St, Chicago, IL,60623,41.846676,-87.699755,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Soul Reviving MB Church,9537 S Perry Ave, Chicago, IL,60628,41.720492,-87.626155,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - The Bishop Shephard Little M Ctr,5230 S Halsted St, Chicago, IL,60609,41.798897,-87.645453,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Community TV Network,2418 W Bloomingdale Ave, Chicago, IL,60647,41.914139,-87.688,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Communidades Unidas,3500 W 63rd Pl, Chicago, IL,60629,41.778237,-87.710633,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Vision Summer Camp,9535 S Prospect Ave, Chicago, IL,60643,41.720175,-87.664813,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Zion Nation,6220 S Damen Ave, Chicago, IL,60636,41.780528,-87.674288,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Tabernacle Baptist Church,4130 S Indiana Ave, Chicago, IL,60653,41.819192,-87.621745,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - New Foundation of Hope,8144 S Kedzie Ave, Chicago, IL,60652,41.744789,-87.70265,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Chicago Preschool Academy,532 E 87th St, Chicago, IL,60619,41.736813,-87.610683,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Allen Metropolitan CME Church,10946 S Lowe Ave, Chicago, IL,60628,41.694604,-87.639243,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Centers Higher Development 2,3515 S Cottage Grove Ave, Chicago, IL,60653,41.830606,-87.609707,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - C R Phillips,2018 E 83rd St, Chicago, IL,60617,41.744611,-87.575136,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Bronzeville Lighthouse Elem Chrtr,8 W Root St, Chicago, IL,60609,41.819829,-87.626995,1,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Germano Milgate Tenant Association,8732 S Burley Ave, Chicago, IL,60617,41.736019,-87.545922,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - New City Day Care,1000 W 51st St, Chicago, IL,60609,41.801762,-87.650408,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - New Philadelphia Church,5430 S State St, Chicago, IL,60609,41.795484,-87.626033,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Carey Temple AME,7157 S Greenwood Ave, Chicago, IL,60619,41.764384,-87.597876,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - World Outreach Conference Center,4 E 111th St, Chicago, IL,60628,41.692852,-87.622462,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Greenbaum,4300 WWabansia, Chicago, IL,60639,41.911627,-87.733709,0,1,1,0,1
Archdiocese of Chicago-Nw Hwy - Washington Park Youth Programs,5350 S Prairie Ave, Chicago, IL,60615,41.796908,-87.619301,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Chicago Xplosion Allstars,901 East 95th Street, Chicago, IL,60619,41.722065,-87.601141,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Northeastern IL University,5500 N Saint Louis Ave, Chicago, IL,60625,41.980212,-87.718797,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Sunshine Gospel Ministeries,500 E 61st St, Chicago, IL,60637,41.784075,-87.612989,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Just for Kids,11024 S Bell Ave, Chicago, IL,60643,41.693776,-87.677162,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Holy Family Ministries,3415 W Arthington St, Chicago, IL,60624,41.869694,-87.711774,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Holy Family Lutheran Church- After School,542 W Hobbie St, Chicago, IL,60610,41.901705,-87.642868,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Roseland Ceasefire Project Beth Eden BC,1035 West 111th Street, Chicago, IL,60643,41.692039,-87.648363,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Silver Cloud MB Church,1041 W 59th St, Chicago, IL,60621,41.786678,-87.651461,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Gods House of All Nations,8409 S Stony Island Ave, Chicago, IL,60617,41.742022,-87.584955,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Perspective Calumet Charter Sch Football Program,8131 S May St, Chicago, IL,60620,41.745962,-87.651505,1,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Brainy Boulevard Daycare,3342 W Bryn Mawr Ave, Chicago, IL,60659,41.983216,-87.713014,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Rogers Park Presbyterian Church,7059 N Greenview Ave, Chicago, IL,60626,42.010604,-87.667633,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - St Pascal Summer Camp,6143  West Irving Park Road, Chicago, IL,60634,41.952544,-87.780793,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Blessed Sacrament Youth Program,3600 South Cermak, Chicago, IL,60623,41.851821,-87.715292,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Greater Garfield,3757 W Douglas, Chicago, IL,60623,41.861873,-87.719858,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Academy Of St Benedict EDU FUN,6022 South Laflin, Chicago, IL,60636,41.784011,-87.661915,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - King College Prep,4445 S Drexel Blvd, Chicago, IL,60653,41.814127,-87.602936,1,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Good News Community Church,3749 W Huron, Chicago, IL,60624,41.893369,-87.720628,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Eden Place Nature Center,4417 S Stewart Ave, Chicago, IL,60609,41.8139,-87.635427,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - St Anselms Fisher Development CTR,110 East 61st Street, Chicago, IL,60637,41.783793,-87.622008,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Miracle House of Prayer,8638 S Michigan Ave, Chicago, IL,60619,41.737073,-87.62147,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - UIC Urban Health Early Outreach Summer Prep Program,1007 West Harrison Street, Chicago, IL,60607,41.87372,-87.652625,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Sakal the Center,10637 South Perry, Chicago, IL,60637,41.700662,-87.625704,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Warriors Drum and Bugie Cor Paul Hall Comm Ctr,10140 Wouth Halsted Street, Chicago, IL,60628,41.709307,-87.643272,0,0,0,1,0
Archdiocese of Chicago-Nw Hwy - Banner School,9538 South Harvard Ave, Chicago, IL,60628,41.720762,-87.632659,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - New Macedonia Church,4244 West Madison, Chicago, IL,60624,41.880901,-87.732429,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Mind Shapers Recreation Youth Center,1843 West 95th Street, Chicago, IL,60643,41.721042,-87.669571,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Windsor Park Lutheran church,2619 East 76th Street, Chicago, IL,60649,41.757039,-87.560667,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Community Services Upward Bond,2240 West Ogden, Chicago, IL,60612,41.867974,-87.68237,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Santa Lucia School Educational Enrichment Program,3018 South Wells, Chicago, IL,60616,41.839075,-87.633236,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - New Genesis AOG Baptist Church,1400 North Laramie, Chicago, IL,60651,41.90608,-87.756243,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - Mujeres Latinas Project Youth,1823 W 17th St, Chicago, IL,60608,41.858444,-87.672059,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - St Michael Spiritual Church,1425 West 51St, Chicago, IL,60609,41.8011,-87.660931,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Childrens World 1,5911 N Lincoln Ave, Chicago, IL,60659,41.98874,-87.704101,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Childrens World 2,5807 N Lincoln Ave, Chicago, IL,60659,41.987162,-87.701386,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Elim Christian Church Vacation Bible School,2735 W 79th St, Chicago, IL,60652,41.749659,-87.691129,0,1,0,0,1
Archdiocese of Chicago-Nw Hwy - The Global Studio Summer,8151 S South Chicago Ave, Chicago, IL,60617,41.74671,-87.578585,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Morgan Park Boys and Girls Club,1425 W 112th St, Chicago, IL,60643,41.690381,-87.657934,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Mustard Seed Learning Center,3656 W 111th St, Chicago, IL,60655,41.691539,-87.712613,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Claretian Associates,9100 S Burley Ave, Chicago, IL,60617,41.729851,-87.545819,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Living Hope Church,6414 S Cottage Grove Ave, Chicago, IL,60637,41.778034,-87.606235,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Future World,5944 N Magnolia Ave, Chicago, IL,60660,41.990485,-87.661595,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Future World II,1744 E 55th St, Chicago, IL,60615,41.795382,-87.582074,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - New Covenant Baptist Church,754 E 77th St, Chicago, IL,60619,41.755326,-87.605688,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Summe Safe Haven Program Acts of the Apostle BC,500 E 71st St, Chicago, IL,60619,41.765927,-87.612512,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - Cross Temple Church of God and Christ,9100 S Bishop St, Chicago, IL,60620,41.728324,-87.659611,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Lawndale Community Church,3839 W Ogden Ave, Chicago, IL,60623,41.85215,-87.72128,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Continuing Academic Training Children and Youth,218 E 79th St, Chicago, IL,60619,41.751275,-87.618898,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Greater First Baptist Church VBS,751 N Parkside Ave, Chicago, IL,60644,41.89448,-87.766263,0,0,0,1,0
Archdiocese of Chicago-Nw Hwy - Pui Tak Christian School,2301 South Wentworth Av, chicago, IL,60616,41.850744,-87.631627,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Thompson hopewell,3313 W. Douglas, Chicago, IL,60623,41.862217,-87.708614,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Morgan Park United Methodist Church,11030 South Longwood Dr, Chicago, IL,60643,41.693498,-87.671672,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Park View Lutheran Church,3919 N Monticello , Chicago , IL,60618,41.952514,-87.718989,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Brickyard Bible,6334 W Diversey, Chicago, IL,60639,41.931248,-87.784794,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - HARAMBEE CHICAGO FOUNDATION,1410 NORTH SPRINGFIELD, CHICAGO, IL,60651,41.906703,-87.724296,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - New Birth Church of God In Christ,1500 W 69th Street , Chicago , IL,60636,41.768835,-87.661684,0,0,1,0,1
Archdiocese of Chicago-Nw Hwy - Light House Youth Center,4338 S Prairie Ave, Chicago, IL,60653,41.815405,-87.620129,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - CNH Maps Corp Program,4305 S King Drive , Chicago , IL,60653,41.816385,-87.616497,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Camelot Safe Academy School,7877 S Coles Ave, Chicago, IL,60649,41.752427,-87.550297,0,0,1,0,0
Archdiocese of Chicago-Nw Hwy - CHICAGO YOUTH PROGRAM  CABRINI GREEN,375 W ELM, CHICAGO, IL,60610,41.902825,-87.637418,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - GODS ARMY MINISTIES,4335 W LAWRENCE AV, CHICAGO, IL,60630,41.967883,-87.736863,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Archdiocese of Chgo - Maternity BVM,1537 N Lawndale Ave, Chicago, IL,60651,41.90924,-87.718849,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Creative Schools Christian/AFC Church,531 W 103rd , Chicago , IL,60643,41.706749,-87.636838,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - chatham Academy,9035 S Langley, Chicago , IL,60619,41.729992,-87.606784,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - RESTORING THE SEED,3501 EAST 95TH STR, CHICAGO, IL,60617,41.722636,-87.538714,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - True Fellowship MBC,9556 S. King Drive, Chicago, IL,60628,41.720249,-87.614447,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - Westside Community Services,325 S California, Chicago, IL,60612,41.876522,-87.695775,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - PRAIZE PRODUCTION  INC NFP,7000 SOUTH KIND DRIVE, CHICAGO, IL,60637,41.767515,-87.615309,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - CHICAGO CITY LIFE CENTER,5501 SOUTH LASALLE ST, CHICAGO, IL,60621,41.794055,-87.629123,0,1,1,0,0
Archdiocese of Chicago-Nw Hwy - ACSSA SUMMER CAMP,415 WEST ENGLEWOOD, CHICAGO, IL,60621,41.780567,-87.635809,0,0,1,0,1
